Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
CRB023,SINDANGJAWA,Februari,Tsel Postpaid,23000,2634,745,65,30468,4109127,155,8
CRB042,TEGALWANGI,Februari,Tsel Postpaid,23000,3167,918,90,40616,4940925,0,8
CRB039,SETUPATOK,Februari,Tsel Postpaid,23000,1870,401,29,14027,2971669,239,9
IND240,Wanakaya,Februari,Tsel Postpaid,10600,1890,391,33,22265,2948828,0,5
IND228,TERISI,Februari,Tsel Postpaid,23000,2728,739,55,34247,4256495,0,9
GRT396,CILAWUGRT,Februari,Tsel Postpaid,13200,2385,516,62,29984,3685674,104,9
GRT257,GOLFNGAMPLANG,Februari,TP Postpaid,10600,2173,522,58,26662,3359751,0,7
GRT040,PAMULIHAN,Februari,Tsel Postpaid,16500,2960,829,102,42371,4575778,0,8
GRT072,Pasir Uncal,Februari,Tsel Postpaid,10600,1648,308,36,13558,2547897,0,9
GRT066,RAYAPAWITAN,Februari,Tsel Postpaid,10600,2307,572,44,27056,3566660,0,11
GRT348,VILLAINTANREGENCY,Februari,Tsel Postpaid,7700,1260,196,14,8301,1947745,53,6
GRT349,PERUMPASADENA,Februari,Tsel Postpaid,7700,1259,194,13,10855,1946198,0,6
GRT304,Rancasalah,Februari,Tsel Postpaid,10600,2279,561,53,26047,3523114,0,7
GRT302,AMOSEAS,Februari,Tsel Postpaid,16500,2013,534,39,17726,3110579,0,7
GRT075,ASIAGARUT,Februari,Tsel Postpaid,13200,2366,436,44,19584,3657323,0,9
GRT154,KATAPANGSUCI,Februari,Tsel Postpaid,13200,2285,565,69,32623,3532837,0,10
GRT104,SUKARASA,Februari,Tsel Postpaid,10600,1895,373,33,19618,2928542,0,6
GRT142,KADUNGSARI,Februari,Tsel Postpaid,13200,2501,760,68,33088,3865562,53,8
GRT155,SANDING,Februari,Tsel Postpaid,13200,1722,382,32,18974,2661902,74,6
GRT138,NEGLASARI,Februari,Tsel Postpaid,13200,2090,376,40,20214,3230644,0,6
GRT150,GODOGGRT,Februari,Tsel Postpaid,10600,2873,495,75,23889,4441909,0,8
GRT158,CILAUTEUREUN,Februari,Tsel Postpaid,10600,2130,486,55,23509,3292724,0,10
GRT112,SUKAMAJU,Februari,Tsel Postpaid,16500,2309,371,45,22813,3570092,174,6
GRT132,BOJONGGRT,Februari,Tsel Postpaid,10600,2204,571,49,25471,3406960,0,7
GRT121,KPPEERCBL,Februari,Tsel Postpaid,10600,1957,403,30,18026,3024121,0,8
GRT118,DARAJAT,Februari,Tsel Postpaid,10600,2409,629,84,29480,3723902,106,8
GRT144,DYHMANGGUNG,Februari,Tsel Postpaid,4400,1886,261,21,14611,2915882,0,6
GRT151,SUCINARAJA,Februari,Tsel Postpaid,4400,2700,586,79,25830,4173244,28,12
GRT079,PEPABRI,Februari,Tsel Postpaid,10600,1662,460,29,20982,2569400,0,7
GRT078,KOTAKULON,Februari,Tsel Postpaid,10600,3548,282,29,13605,5495003,0,7
GRT077,SUCIKALER,Februari,Tsel Postpaid,10600,2547,520,40,22112,3937289,111,6
GRT089,Cigangsa,Februari,Tsel Postpaid,16500,2685,487,71,29027,4151185,0,7
GRT006,Tarogong,Februari,Tsel Postpaid,23000,2376,618,57,26756,3672518,0,7
GRT042,PEMDAGRT,Februari,Tsel Postpaid,10600,1585,460,26,13497,2449412,0,7
