Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
TSK755,RAYAKRNUNGGAL,Maret,TP Postpaid,10600,1949,351,34,23744,3097292,21,9
TSK626,CILAMAJANG,Maret,TP Postpaid,10600,2021,361,44,21892,3211888,103,6
TSK560,KARASAKMENAK,Maret,TP Postpaid,7700,2328,690,61,37568,3699254,0,7
CRB776,CIDENGINDAH,Maret,TP Postpaid,10600,1605,444,27,20842,2550158,0,9
CRB801,DSKEDUNGJAYA,Maret,TP Postpaid,10600,1608,378,25,21022,2509673,335,9
CRB702,JLPEMBANGUNAN,Maret,TP Postpaid,10600,90145,685,57,29420,3369056,335,9
CRB864,CIDENGSELATAN,Maret,TP Postpaid,10600,1533,382,26,18135,2436198,0,9
CRB681,KEDAWUNG,Maret,TP Postpaid,5500,2768,177,12,10453,3288384,0,3
CRB872,JLSYEHPANGERANPANJITBG,Maret,TP Postpaid,10600,1574,377,29,24113,2455640,335,9
CRB517,JLTUPAREV,Maret,TP Postpaid,10600,1618,413,22,14565,2571118,335,9
CRB612,PILANGSARI,Maret,TP Postpaid,10600,32195,604,46,27578,11586374,335,9
IND257,JLRYKAPLONGAN,Maret,TP Postpaid,6600,1972,545,48,21429,3077473,175,10
IND235,CANGKINGAN,Maret,TP Postpaid,10600,1351,295,18,14204,2108463,100,5
IND219,DSKEDOKANAGUNG,Maret,TP Postpaid,7700,1339,309,48,10475,2089257,0,5
IND318,KAPLONGANKIDULTBGMW,Maret,TP Postpaid,10600,1351,257,15,12441,2107184,2276,9
MJL315,CIPALIKM156DMT,Maret,TP Postpaid,10600,1942,515,42,22749,3030243,0,7
CRB886,BLOKPENGAMPONDMT,Maret,TP Postpaid,10600,1481,360,27,24284,2311331,0,9
CRB897,JLNYIMASENDANGTBG,Maret,TP Postpaid,10600,1871,448,39,25526,2918372,0,10
SMD131,CIKURUBUKSMD,Maret,TP Postpaid,10600,2007,268,32,14315,3131458,599,6
SMD188,KPNYALINDUNG,Maret,TP Postpaid,10600,2059,561,52,30042,3212717,0,7
SMD168,DSNCIBENDA,Maret,TP Postpaid,10600,2211,566,69,32038,3449037,0,10
SMD228,DSNCIKOLE,Maret,TP Postpaid,10600,2143,397,40,22193,3343437,620,10
SMD349,DSNWARUNGTOGEDMTMW,Maret,TP Postpaid,10600,1938,424,43,25204,3024096,0,6
SMD391,BABAKANASEMCONGGEANGTBG,Maret,TP Postpaid,10600,1333,193,21,9253,2079676,0,6
SMD394,KCTANJUNGMEDARTANJUNGMEDARGMT,Maret,TP Postpaid,10600,2042,608,77,23188,3185647,171,7
SMD386,CIMACANPAMEKARANSMDTBG,Maret,TP Postpaid,10600,2014,482,35,24060,3142038,0,7
SMD390,DSNKIRISIKPAJAGANIGIHONMT1,Maret,TP Postpaid,10600,1699,338,35,19495,2650519,74,6
SMD399,KCWARGALUYUTANJUNGMEDARTBG,Maret,TP Postpaid,10600,1459,245,23,14614,4279453,0,3
KNG133,DSCIKASO,Maret,TP Postpaid,10600,1792,386,27,21759,2848047,0,10
IND348,BOPURWAJAYAKRANGKENGTBG,Maret,TP Postpaid,5500,1414,276,38,7702,1679832,0,6
IND349,BOKEDUNGWUNGUKRANGKENGTBG,Maret,TP Postpaid,6600,1254,210,16,12104,1955650,2276,6
IND317,BLOKLURAHDMT,Maret,TP Postpaid,10600,1605,446,22,26565,2503869,2276,9
BJR062,KWSNMARGASARI,Maret,TP Postpaid,7700,1675,362,35,20109,2661573,0,9
BJR054,SUKAHURIPBNJR,Maret,TP Postpaid,10600,1687,295,19,13432,2681773,0,6
BJR049,SINDANGGALIH,Maret,TP Postpaid,10600,1449,208,14,11098,2302278,39,6
BJR082,JLCIJUREYKUJANGSARIPTLMT1,Maret,TP Postpaid,10600,1510,202,21,11024,2400552,0,6
KNG119,LURAGUNG,Maret,TP Postpaid,10600,1624,199,12,11658,2579986,31,6
KNG112,DSPAGUNDAN,Maret,TP Postpaid,10600,1372,222,15,13295,2181231,0,5
KNG218,DSMANGGARIDMT,Maret,TP Postpaid,10600,1299,275,15,16396,2065270,20,9
SUB655,BOPANGARENGANLEGONKULONTBG,Maret,TP Postpaid,5500,1894,186,18,11303,2291740,134,6
SUB714,KRAJANLEGONWETANDMT,Maret,TP Postpaid,6600,1583,252,23,12491,2515863,0,6
GRT250,KPTAMBAKRY,Maret,TP Postpaid,10600,1758,193,26,10335,2718185,2197,7
GRT173,MARGALUYUGRT,Maret,TP Postpaid,6600,2251,358,37,19146,3478408,0,8
CJR618,PUNCAKWANGILELESCJRDMT,Maret,TP Postpaid,10600,1632,250,27,14330,2593764,433,6
CRB628,CIPEUJEUHKULON,Maret,TP Postpaid,10600,1763,626,67,36194,2751890,0,10
GRT450,KPSINDANGSARIGRTMW,Maret,TP Postpaid,7700,1646,251,25,16554,2544434,462,7
GRT448,SITUCANGKUANGMW,Maret,TP Postpaid,10600,1844,479,46,25765,2851065,235,9
GRT299,BLOKKANDURUAN,Maret,TP Postpaid,10600,2104,503,56,26251,3251883,151,7
GRT317,KPPASIRWAAS,Maret,TP Postpaid,10600,1783,555,51,20916,2756352,0,6
CRB785,KPPEJATEN,Maret,TP Postpaid,10600,1559,524,42,30888,2432314,217,8
CRB814,KEJAWANAN,Maret,TP Postpaid,10600,670,524,33,24042,1065570,335,7
CRB680,GASIDOLA,Maret,TP Postpaid,5500,1514,470,36,17189,1831940,335,6
CRB972,RELOCPELABUHANCRBTBG,Maret,TP Postpaid,10600,2115,1350,103,36965,3361905,0,5
CRB737,KERATONCIREBON,Maret,TP Postpaid,10600,2246,489,32,28717,3568704,335,9
BDG148,BLOKARENG,Maret,TP Postpaid,10600,2396,510,53,23071,3704502,544,12
BDG916,PNORAMALMBNG,Maret,TP Postpaid,10600,1981,446,36,26321,3062674,642,6
BDB097,BLOKSINDANGWANGI,Maret,TP Postpaid,10600,600,282,30,12707,928162,0,3
BDB254,KPSUKARASADMTMW,Maret,TP Postpaid,10600,2108,580,39,33698,3259179,0,7
BDB280,KPCIPUTRIDMT,Maret,TP Postpaid,10600,1542,297,17,16620,2383746,596,6
BDB082,DSCIKAHURIPAN,Maret,TP Postpaid,10600,1699,332,28,22375,2625977,0,9
BDG347,PAMECALAN,Maret,TP Postpaid,10600,2237,762,57,35850,3458360,138,12
BDB079,ARENGHILIR,Maret,TP Postpaid,10600,1544,473,54,21593,2387332,0,7
BDB073,POJOKGIRANG,Maret,TP Postpaid,10600,1712,333,26,18191,2646645,0,6
BDK970,MELONGKIDUL,Maret,TP Postpaid,10600,1363,356,18,19079,2126656,0,8
TSK882,KPCIKELENGDMT,Maret,TP Postpaid,10600,1819,506,43,28292,2890716,548,10
TSK803,KPCITEREWES,Maret,TP Postpaid,7700,1894,654,120,24409,3009888,630,10
TSK854,KPKALIEUNGDMT,Maret,TP Postpaid,10600,1409,432,38,20814,2237996,1142,9
SUB043,GUNUNGSARIPAGADENDMT,Maret,TP Postpaid,10600,1893,563,52,31448,3008108,0,7
SUB038,KEDIRIBINONGTBG,Maret,TP Postpaid,10600,1301,239,16,14014,2067176,0,3
SUB040,JATICIPUNAGARAPTL,Maret,TP Postpaid,10600,1477,329,28,14581,2345679,0,6
SUB508,DSLANGUNSARI,Maret,TP Postpaid,10600,1559,195,22,8184,2478120,44,9
SUB520,TANJUNGKRAJAN,Maret,TP Postpaid,10600,1554,251,21,15657,2470269,0,6
SUB527,CIATER2,Maret,TP Postpaid,10600,1875,626,55,28303,2978916,1371,7
SUB523,SUKAMULYASUB,Maret,TP Postpaid,10600,2294,484,36,29978,3645651,0,7
SUB521,WANAKERTASUB,Maret,TP Postpaid,10600,1749,442,38,23101,2780491,36,9
SUB562,DSNMARGAHAYUTMR,Maret,TP Postpaid,10600,1449,406,37,25939,2302707,0,8
SUB580,DSCIASEMBARUDMT,Maret,TP Postpaid,10600,2141,590,34,33227,3402890,0,7
SUB613,KPBATOKDMT,Maret,TP Postpaid,10600,1444,321,20,21771,2294365,0,5
SUB656,BODUKUHCIASEMTBG,Maret,TP Postpaid,6600,1573,171,16,8852,2499224,0,6
SUB649,DSNSIMPARTBGMW,Maret,TP Postpaid,10600,1960,317,22,17824,3114376,0,6
IND272,DSPAMAYAHAN,Maret,TP Postpaid,10600,1744,390,23,18555,2721449,202,9
SUB683,KPSITURAJACINANGSIDMTMT1,Maret,TP Postpaid,10600,2095,799,72,45289,3329438,0,7
IND202,DSMUNTUR,Maret,TP Postpaid,10600,2222,534,40,24882,3467697,0,10
IND167,TEGALTAMAN,Maret,TP Postpaid,10600,2293,523,57,22482,3578165,208,7
CRB796,KELPANGGANGSARI,Maret,TP Postpaid,10600,1270,103,10,5021,1982081,97,9
CRB528,KALIRAHAYU,Maret,TP Postpaid,10600,1774,276,25,20441,2767289,2870,6
CMS288,KARANGPANINGGAL,Maret,TP Postpaid,10600,1770,390,51,21123,2813625,238,6
CMS574,BANTARSARIAWILUARDMT,Maret,TP Postpaid,10600,1971,638,49,26744,3131126,0,7
CMS536,DSNCIKUPALUMBUNG-TBG,Maret,TP Postpaid,10600,1611,248,18,13385,2558834,0,6
CMS435,DSNPATROLLUMBUNGTBG,Maret,TP Postpaid,10600,1600,397,39,19487,2542751,569,9
KNG276,ASTANACIGEDANGLURAGUNGCMI,Maret,TP Postpaid,10600,1447,167,13,11032,2300101,0,6
BDG256,JATIHANDAP,Maret,TP Postpaid,10600,2082,701,47,44581,3248494,0,8
BDX001,JLPASIRIMPUNDMT,Maret,TP Postpaid,10600,1540,405,33,21031,2402840,0,6
TSK615,KPCIGANTANG,Maret,TP Postpaid,7700,1460,323,32,17234,2320188,0,5
TSK759,PASIRBOKOR,Maret,TP Postpaid,10600,1916,482,34,31508,3045152,0,10
TSK653,JLPERBU,Maret,TP Postpaid,10600,1524,378,31,22407,2422944,0,8
TSK600,JLGADOG,Maret,TP Postpaid,10600,1611,217,21,14436,2560884,0,8
TSK756,JLIRHJUANDATASIK,Maret,TP Postpaid,7700,1780,818,63,36964,2828723,0,10
TSK757,KPSUKAGENAH,Maret,TP Postpaid,10600,1581,262,16,15794,2512478,0,9
TSK162,KARIKIL,Maret,TP Postpaid,16500,2089,533,55,25010,3320316,1650,7
TSK450,CILEMBANG,Maret,TP Postpaid,10600,1814,501,46,26061,2881737,0,9
CMS364,DSNSUKAMAJU,Maret,TP Postpaid,10600,1789,362,37,17025,2843375,0,9
TSK856,KPSALAKKASOTBG,Maret,TP Postpaid,10600,1783,547,68,27938,2833872,943,9
BDS062,KPSEKETESPONG,Maret,TP Postpaid,10600,1484,408,24,18263,2315450,0,9
BDS127,BLOKCIMILIR,Maret,TP Postpaid,10600,1945,494,51,32288,2979166,190,7
BDS170,RANCAMALANG,Maret,TP Postpaid,10600,1459,208,20,13487,2235190,0,9
BDS210,MEKARBAKTIBDG,Maret,TP Postpaid,10600,1618,296,23,19795,3652558,0,6
BDS204,TMNKOPOINDAH,Maret,TP Postpaid,10600,1782,494,38,20445,2729612,0,9
BDS473,TMNKOPOINDAH3,Maret,TP Postpaid,10600,1872,527,43,28312,2920836,0,10
BDG941,DSRAHAYU,Maret,TP Postpaid,10600,2131,736,66,37735,3263160,23,10
BDS565,DSMEKARRAHAYU,Maret,TP Postpaid,10600,1397,592,52,29376,2139341,0,10
CRB676,SENAPANCANG,Maret,TP Postpaid,10600,1965,323,25,19216,3064757,129,6
CRB537,DSPAMEKANG,Maret,TP Postpaid,10600,2138,563,60,27923,3335278,605,12
BDG390,CAGAKNAGREG,Maret,TP Postpaid,10600,1765,443,28,22423,2702812,0,6
TSK047,RELOCSTOTSKBRIGIFBMS,Maret,TP Postpaid,10600,1502,958,72,34052,2386743,0,8
TSK458,WANGUNWATI,Maret,TP Postpaid,10600,1990,584,95,21998,3162083,1017,10
TSK460,JLKUBANG,Maret,TP Postpaid,10600,2215,618,74,28862,3519694,1155,8
TSK466,BJNGRENCONG,Maret,TP Postpaid,10600,1432,267,30,15417,2275755,206,10
TSK472,CIKAWUNGGDG,Maret,TP Postpaid,10600,1985,462,70,23434,3154105,711,10
TSK474,PANCARGATUN,Maret,TP Postpaid,10600,2182,602,78,26350,3468458,66,7
TSK504,KPSUKAMENAK,Maret,TP Postpaid,10600,2072,391,40,18897,3292093,1441,6
TSK497,PASIRHUNI,Maret,TP Postpaid,10600,1610,326,24,13576,2559358,113,13
TSK493,KPCIBURIAL,Maret,TP Postpaid,10600,1548,389,52,15503,2460194,2632,6
CJR722,CIBURIALSUKAMULYANARINGGULDMT,Maret,TP Postpaid,10600,1965,560,93,22174,3122831,6894,6
CJR709,CIGARUWANGUNJAYANARINGGULSTP,Maret,TP Postpaid,10600,1565,289,29,12233,2486765,8710,4
TSK822,KPSINGKIR,Maret,TP Postpaid,10600,2031,670,143,26331,3227430,893,9
