Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total RRU
TSK036,JLAMBARAYAHSUKAMAJUTSKPTL,Januari,TP Postpaid,10600,1770,355,44,14687,2813102,6
TSK985,BRIGIFTASIKDMTML1,Januari,TP Postpaid,10600,1974,390,29,22336,3137784,6
TSK945,KPTAMBAKANDMT,Januari,TP Postpaid,10600,1641,486,45,19508,2609258,9
TSK026,PANUUSANJATIJAYATSKDMT,Januari,TP Postpaid,10600,2323,440,58,19331,3691896,7
SPR010,CINTAJAYATANJUNGJAYADMT,Januari,TP Postpaid,10600,1600,404,31,18103,2543229,5
TSK035,PAGERALAMTARAJUDMT,Januari,TP Postpaid,10600,1901,458,45,15782,3020821,11
TSK921,BOKERTAMUKTICIAWIDMT,Januari,TP Postpaid,10600,1474,222,24,12545,2341261,6
SMD402,MEKARJAYASUMEDANGUTARATBG,Januari,TP Postpaid,10600,1519,795,68,35671,2370278,7
SPR003,PAPAYANJATIWARASTBG,Januari,TP Postpaid,10600,2045,531,69,24219,3250012,6
SMD392,TANJUNGJAYAMULYAJAYATBG,Januari,TP Postpaid,10600,4000,516,51,30215,6251869,7
SMD353,KAREUMBIMARGALAKSANASMDTBG,Januari,TP Postpaid,10600,2185,508,58,24110,6269232,7
BDS123,KPTAGOG,Januari,TP Postpaid,10600,1893,364,27,15725,2898309,9
BDS066,DSCANGKUANG,Januari,TP Postpaid,10600,2323,932,77,36979,3557308,6
SMD393,TBG_TSEL_SMD393,Januari,TP Postpaid,10600,9445,424,42,26336,15161216,6
BDS135,KPCIRINU,Januari,TP Postpaid,10600,2800,563,63,34864,4288773,9
BDK024,LIGARNYAWANG,Januari,TP Postpaid,10600,424,272,26,16666,649306,6
BDS090,PASIRHONJE,Januari,TP Postpaid,10600,1844,249,16,13524,2825063,9
BDS812,MSJDBESARCICALENGKADMT,Januari,TP Postpaid,10600,2433,852,65,33928,3726342,7
BDS862,BABAKANMANDALAWANGINAGREGTBG,Januari,TP Postpaid,10600,2195,431,36,26699,3361016,7
BDS863,CIPANASMARGAMUKTIDMT,Januari,TP Postpaid,10600,1855,403,34,26531,2841632,6
BDS265,RANCAEKEKWETAN,Januari,TP Postpaid,10600,1918,567,57,26939,2937803,10
BDS822,BOJELEKONGBALEENDAHTBG,Januari,TP Postpaid,6600,1702,289,25,16667,2606565,6
SMD372,JLPRABUGAJAHAGUNGDMT,Januari,TP Postpaid,10600,1857,784,63,30015,2898212,10
SMD377,BOCIPELANGUJUNGJAYATBG,Januari,TP Postpaid,6600,1754,209,14,8579,2736833,6
SMD362,DSNSUKALUYUDMT,Januari,TP Postpaid,10600,1721,396,40,21384,2684454,9
SMD352,BOMARGAMEKARSUMEDANGSELATANTBG,Januari,TP Postpaid,6600,2179,483,46,27209,6426836,7
SMD292,PERUMKOPRIINDH,Januari,TP Postpaid,10600,2101,391,29,21459,3278405,9
BDS397,MAJALAYA,Januari,TP Postpaid,10600,2499,645,58,32036,3826786,9
BDS468,CIBURIALDAGO,Januari,TP Postpaid,10600,2027,362,25,12711,3103881,9
BDS535,DSNRANCAKENDAL,Januari,TP Postpaid,10600,2793,739,73,42125,4276706,9
BDS540,JLCIBIRUBEET,Januari,TP Postpaid,7700,2044,211,18,8311,3130145,10
BDS534,RANCAKEMIT,Januari,TP Postpaid,7700,65228,809,66,30710,3895147,7
BDS457,BBKNSUKARASA,Januari,TP Postpaid,10600,2541,903,79,31212,3891288,12
BDS774,CIPAKUPASEHDMT,Januari,TP Postpaid,10600,1994,695,56,35414,3054448,10
BDS445,TOLGATECILEUNYI,Januari,TP Postpaid,7700,1353,332,23,18435,2071960,9
BDS762,KPCIJAMBETBG,Januari,TP Postpaid,10600,1662,499,45,26157,2544942,9
SMD368,DSNTEGALSARICMI,Januari,TP Postpaid,10600,1515,352,25,22289,2363647,6
SMD304,DSGUDANGDMT,Januari,TP Postpaid,10600,1744,967,71,35077,2721122,10
SMD330,DUSUNCIKERUHTBG,Januari,TP Postpaid,10600,2255,313,28,16521,3318605,9
BDS384,RAYACITAMAN,Januari,TP Postpaid,10600,2,524,49,28689,4302862,7
BDS574,DSNCIBURALENG,Januari,TP Postpaid,10600,1275,308,19,16809,1989352,8
SMD325,DSNGURANDIL,Januari,TP Postpaid,10600,1828,334,34,17335,2851997,10
SMD329,KPPANGKALANTBG,Januari,TP Postpaid,10600,1866,869,79,38176,2911366,6
SMD374,TJAJIMALELABBKNHURIPDMT,Januari,TP Postpaid,10600,2091,527,92,26441,3261725,10
SMD331,UJUNGJAYAPALASAHDMT,Januari,TP Postpaid,10600,1914,313,36,16765,2987305,6
SMD358,BOKAMALTANJUNGMEDARTBG,Januari,TP Postpaid,5500,2078,404,46,21622,2468664,7
SMD363,DUSUNPANTENEUNDMT,Januari,TP Postpaid,10600,2550,1082,140,44605,3979203,12
BDS456,PERMATACINUNUK,Januari,TP Postpaid,10600,2490,593,57,31232,3812621,13
BDS272,CILEUNYIKULON,Januari,TP Postpaid,10600,1645,251,20,15078,2518526,6
BDS293,RANCAEKEKKULON,Januari,TP Postpaid,10600,1937,525,60,21448,2966440,9
BDS303,BOJONGMALATI,Januari,TP Postpaid,10600,1623,241,23,16487,2484070,8
BDS314,SIRNASARIBNJRN,Januari,TP Postpaid,10600,2490,527,48,29792,3813325,7
BDS490,PASARCILEUNYI,Januari,TP Postpaid,7700,2666,633,79,39653,4082374,11
TSK540,CIJERAHGRT,Januari,TP Postpaid,10600,1681,399,54,18280,2671347,3
BDS246,DURUNGKIDUL,Januari,TP Postpaid,10600,1936,340,27,21886,2965582,6
BDS268,CIMEKARCILEUNYI,Januari,TP Postpaid,10600,2131,609,59,30933,3262533,7
BDS376,DSPAKUTANDANG,Januari,TP Postpaid,10600,2541,649,53,34746,3892544,8
BDS251,CIBIRUINDAH,Januari,TP Postpaid,10600,1851,297,23,17908,2834527,6
BDS359,JLRAYACINUNUK,Januari,TP Postpaid,10600,1851,751,70,30658,2834052,4
BDS382,JLAWILIGAR,Januari,TP Postpaid,10600,2628,480,34,27469,4025544,7
BDG139,JAJAWAY,Januari,TP Postpaid,10600,2112,422,34,32197,3234294,7
BDS188,JLSUKARAHAYU,Januari,TP Postpaid,10600,1932,543,42,23956,2959931,9
BDS228,KOMPPOLDA,Januari,TP Postpaid,10600,1956,425,37,21110,2995399,9
BDS566,TAGOGCILEUNYI,Januari,TP Postpaid,10600,1722,347,24,18572,2637039,9
BDS177,KPLEMANGJAMBE,Januari,TP Postpaid,10600,1537,251,17,14841,2353581,3
SMD141,RYSUKAMULYA,Januari,TP Postpaid,10600,1955,639,43,30443,3050199,7
SMD165,MEKARBAKTI,Januari,TP Postpaid,10600,1729,358,41,19307,2697733,8
SMD134,PAJAGAN,Januari,TP Postpaid,10600,2240,341,41,16038,3494612,10
SMD195,KELKOTAKALER,Januari,TP Postpaid,10600,2483,1008,91,40642,3874165,9
SMD153,DSNCIBUNGUR,Januari,TP Postpaid,10600,2229,353,41,20363,3445839,7
SMD155,TMLSUMEDANG,Januari,TP Postpaid,10600,2110,628,51,24506,3293322,10
SMD144,DSCISEMPUR,Januari,TP Postpaid,10600,2136,284,25,17081,3332313,10
SMD182,CINANJUNG,Januari,TP Postpaid,10600,2027,377,24,20623,3162539,6
SMD190,PANGANTINGAN,Januari,TP Postpaid,10600,1361,461,42,22750,2123769,6
SMD192,SUKANANJUNG,Januari,TP Postpaid,10600,1856,553,45,28546,2896325,10
SMD270,PADAASIH,Januari,TP Postpaid,10600,1914,289,38,14218,2987366,6
SMD133,CIBEREMAS,Januari,TP Postpaid,10600,2393,248,17,13196,3734895,9
SMD156,KPSUKAJAYA,Januari,TP Postpaid,10600,1742,151,22,9396,2718360,9
SMD273,KPCIBUNGUR,Januari,TP Postpaid,10600,2294,622,39,33140,3579273,10
SMD204,CIPAMEUNGPEUK,Januari,TP Postpaid,10600,1580,321,35,16921,2466063,3
SMD207,CONGEANGKULON,Januari,TP Postpaid,10600,1944,526,44,23941,3033489,6
SMD147,PASANGGRAHAN,Januari,TP Postpaid,10600,1618,380,28,21857,2525166,6
